Role,Name,Term End,Session
Caucus Chairman,John B. Larson,,112
Caucus Vice-Chairman,Xavier Becerra,,112
Campaign Committee Chairman,Steve Israel,,112
Steering/Policy Committee Co-Chairs,Rosa DeLauro and George Miller[20],,112
"Organization, Study, and Review Chairman",Mike Capuano[21],,112
Speaker,John Boehner,,113
Majority Leader,Eric Cantor,2014-08-01 00:00:00,113
Majority Whip,Kevin McCarthy,2014-08-01 00:00:00,113
Majority Chief Deputy Whip,Peter Roskam,2014-08-01 00:00:00,113
Conference Chair,Cathy McMorris Rodgers,,113
Conference Vice-Chair,Lynn Jenkins,,113
Conference Secretary,Virginia Foxx,,113
Campaign Committee Chairman,Greg Walden,,113
Policy Committee Chairman,James Lankford,,113
Minority Leader,Nancy Pelosi,,113
Minority Whip,Steny Hoyer,,113
Assistant Democratic Leader,Jim Clyburn,,113
Caucus Chairman,Xavier Becerra,,113
Caucus Vice-Chairman,Joseph Crowley,,113
Campaign Committee Chairman,Steve Israel,,113
Steering and Policy Committee Co-Chairs,Rosa DeLauro (Steering) and Rob Andrews (Policy," February 18, 2014); George Miller (Policy, from March 24, 2014)",113
"Organization, Study, and Review Chairman",Mike Capuano,,113
Senior Chief Deputy Minority Whip,John Lewis,,113
Chief Deputy Minority Whips,"Terri Sewell, Keith Ellison, Jim Matheson, Ben R. Luján, Jan Schakowsky, Diana DeGette, G. K. Butterfield, Debbie Wasserman Schultz, Peter Welch",,113
Speaker,John Boehner,,114
Majority Leader,Kevin McCarthy,,114
Majority Whip,Steve Scalise,,114
Majority Chief Deputy Whip,Patrick McHenry,,114
Conference Chair,Cathy McMorris Rodgers,,114
Conference Vice-Chair,Lynn Jenkins,,114
Conference Secretary,Virginia Foxx,,114
Campaign Committee Chairman,Greg Walden,,114
Policy Committee Chairman,Luke Messer,,114
Senior Deputy Whips,"Kristi Noem, Dennis Ross, Aaron Schock (until March 31, 2015), Steve Stivers, Ann Wagner",,114
Minority Leader,Nancy Pelosi,,114
Minority Whip,Steny Hoyer,,114
Assistant Democratic Leader,Jim Clyburn,,114
Caucus Chairman,Xavier Becerra,,114
Caucus Vice-Chairman,Joe Crowley,,114
Campaign Committee Chairman,Ben Ray Luján,,114
Steering and Policy Committee Co-Chairs,Rosa DeLauro (Steering) and Donna Edwards (Policy),,114
"Organization, Study, and Review Chairman",Karen Bass,,114
Policy and Communications Chairman,Steve Israel,,114
Senior Chief Deputy Minority Whip,John Lewis,,114
Chief Deputy Minority Whips,"G. K. Butterfield, Diana DeGette, Keith Ellison, Jan Schakowsky, Kyrsten Sinema, Debbie Wasserman Schultz, Peter Welch",,114
